lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
3.60000e-01 6.96969e-01 5.58015e-01 1.99426e-01 3.45961e-03 2.46136e-03 3.76742e-01 5.65679e-01 1.13136e+00 2.26272e+00 3.39408e+00
3.70000e-01 6.88333e-01 5.45766e-01 1.84875e-01 1.68896e-03 2.08214e-03 3.87208e-01 5.81393e-01 1.16279e+00 2.32557e+00 3.48836e+00
3.80000e-01 6.81930e-01 5.34643e-01 1.71611e-01 1.23379e-03 2.34993e-03 3.97673e-01 5.97106e-01 1.19421e+00 2.38842e+00 3.58264e+00
3.90000e-01 6.73209e-01 5.22337e-01 1.58429e-01 1.33756e-03 2.64461e-03 4.08138e-01 6.12819e-01 1.22564e+00 2.45128e+00 3.67692e+00
4.00000e-01 6.65587e-01 5.10815e-01 1.46501e-01 1.69349e-03 2.70878e-03 4.18603e-01 6.28533e-01 1.25707e+00 2.51413e+00 3.77120e+00
4.10000e-01 6.57080e-01 4.98277e-01 1.34250e-01 1.40602e-03 2.53528e-03 4.29068e-01 6.44246e-01 1.28849e+00 2.57698e+00 3.86548e+00
4.20000e-01 6.49934e-01 4.87480e-01 1.23921e-01 1.80158e-03 2.08397e-03 4.39533e-01 6.59959e-01 1.31992e+00 2.63984e+00 3.95976e+00
4.30000e-01 6.41065e-01 4.75385e-01 1.13303e-01 3.00176e-03 2.52888e-03 4.49998e-01 6.75673e-01 1.35135e+00 2.70269e+00 4.05404e+00
4.40000e-01 6.33281e-01 4.64246e-01 1.03750e-01 1.66171e-03 1.39690e-03 4.60463e-01 6.91386e-01 1.38277e+00 2.76554e+00 4.14832e+00
4.50000e-01 6.24739e-01 4.52433e-01 9.46221e-02 1.72538e-03 1.37111e-03 4.70928e-01 7.07099e-01 1.41420e+00 2.82840e+00 4.24260e+00
4.60000e-01 6.17482e-01 4.41310e-01 8.59422e-02 1.36685e-03 1.60166e-03 4.81393e-01 7.22812e-01 1.44562e+00 2.89125e+00 4.33687e+00
4.70000e-01 6.09358e-01 4.30418e-01 7.83289e-02 1.51500e-03 2.11377e-03 4.91858e-01 7.38526e-01 1.47705e+00 2.95410e+00 4.43115e+00
4.80000e-01 6.00979e-01 4.19254e-01 7.08697e-02 1.30499e-03 2.09441e-03 5.02323e-01 7.54239e-01 1.50848e+00 3.01696e+00 4.52543e+00
4.90000e-01 5.93401e-01 4.08561e-01 6.43599e-02 1.74150e-03 2.04100e-03 5.12788e-01 7.69952e-01 1.53990e+00 3.07981e+00 4.61971e+00
5.00000e-01 5.85942e-01 3.97918e-01 5.80280e-02 1.35060e-03 1.85868e-03 5.23253e-01 7.85666e-01 1.57133e+00 3.14266e+00 4.71399e+00
5.10000e-01 5.78432e-01 3.87646e-01 5.20923e-02 1.53777e-03 1.38209e-03 5.33718e-01 8.01379e-01 1.60276e+00 3.20552e+00 4.80827e+00
5.20000e-01 5.69506e-01 3.76685e-01 4.70013e-02 1.50720e-03 1.24756e-03 5.44184e-01 8.17092e-01 1.63418e+00 3.26837e+00 4.90255e+00
5.30000e-01 5.61829e-01 3.66489e-01 4.21105e-02 1.51902e-03 1.22056e-03 5.54649e-01 8.32806e-01 1.66561e+00 3.33122e+00 4.99683e+00
5.40000e-01 5.53653e-01 3.56060e-01 3.76403e-02 1.45060e-03 1.45745e-03 5.65114e-01 8.48519e-01 1.69704e+00 3.39408e+00 nan
5.50000e-01 5.46543e-01 3.46045e-01 3.33826e-02 2.79155e-03 2.26346e-03 5.75579e-01 8.64232e-01 1.72846e+00 3.45693e+00 nan
5.60000e-01 5.38535e-01 3.36318e-01 2.99991e-02 1.37143e-03 1.99958e-03 5.86044e-01 8.79946e-01 1.75989e+00 3.51978e+00 nan
