time difference
1.85833e+01 1.31360e+01
1.86250e+01 -1.40701e+00
1.86667e+01 5.91179e-01
1.87083e+01 2.05848e+01
1.87500e+01 -1.53234e+01
1.87917e+01 -1.50159e+00
1.88333e+01 -1.07003e+01
1.88750e+01 1.31242e+00
1.89167e+01 -1.93907e+01
1.89583e+01 -1.06412e+01
1.90000e+01 9.87269e+00
1.90417e+01 -1.79955e+01
1.90833e+01 -5.10779e+00
1.91250e+01 -5.40337e+00
1.91667e+01 -1.57727e+01
1.92083e+01 2.11997e+01
1.92500e+01 -3.66531e-01
1.92917e+01 1.19655e+01
1.93333e+01 -2.20391e+01
1.93750e+01 3.06231e+00
1.94167e+01 -9.76628e+00
1.94583e+01 1.38572e+01
1.95000e+01 1.21192e+01
1.95417e+01 -3.06231e+00
1.95833e+01 4.83584e+00
1.96250e+01 8.41839e+00
1.96667e+01 -2.40019e+00
1.97083e+01 1.57372e+01
1.97500e+01 5.61620e+00
1.97917e+01 5.46249e+00
1.98333e+01 1.63402e+01
1.98750e+01 -2.24884e+01
1.99167e+01 2.63666e+00
1.99583e+01 6.38473e+00
2.00000e+01 7.10597e+00
2.00417e+01 1.91897e+01
2.00833e+01 -1.92724e+00
2.01250e+01 -1.54771e+01
2.01667e+01 -1.71560e+01
2.02083e+01 -1.82556e+01
2.02500e+01 -2.04548e+01
2.02917e+01 -2.15426e+01
2.03333e+01 1.53707e+01
2.03750e+01 2.44748e+00
2.04167e+01 -2.29377e+00
2.04583e+01 -2.34107e+00
2.05000e+01 -8.74945e-01
2.05417e+01 2.01001e-01
2.05833e+01 1.89532e+01
2.06250e+01 -1.67185e+01
2.06667e+01 1.82793e+01
2.07083e+01 -4.83584e+00
2.07500e+01 9.75445e+00
2.07917e+01 -2.08923e+01
2.08333e+01 -1.75225e+01
2.08750e+01 -2.74307e+00
2.09167e+01 -1.13979e+01
2.09583e+01 1.26512e+01
2.10000e+01 -1.43065e+01
2.10417e+01 -2.14007e+00
2.10833e+01 2.16135e+01
2.11250e+01 -3.53525e+00
2.11667e+01 1.41883e+00
2.12083e+01 2.07031e+01
2.12500e+01 1.89177e+00
2.12917e+01 -2.06085e+01
2.13333e+01 1.82793e+01
2.13750e+01 -5.08414e+00
2.14167e+01 9.29333e+00
2.14583e+01 -1.26039e+01
2.15000e+01 2.42147e+01
2.15417e+01 -1.01328e+01
2.15833e+01 4.95408e+00
2.16250e+01 3.53525e+00
2.16667e+01 -7.23603e+00
2.17083e+01 8.19374e+00
2.17500e+01 -8.63121e-01
2.17917e+01 -4.48114e+00
2.18333e+01 1.65412e+01
2.18750e+01 -1.04047e+00
2.19167e+01 -1.07476e+01
2.19583e+01 -5.11961e+00
2.20000e+01 -1.38927e+01
2.20417e+01 -4.37472e+00
2.20833e+01 3.18054e+00
2.21250e+01 -8.27650e-01
2.21667e+01 -8.43021e+00
2.22083e+01 -8.30015e+00
